Country (국가),Destination,Year,Month,45KG,100KG,300KG,500KG,1000KG
북미,Chicago,2026,1,0,8610,8610,8610,0
북미,Dallas,2026,1,0,10935,10935,10935,0
북미,Los Angeles,2026,1,0,7747.5,7747.5,7747.5,0
북미,New York,2026,1,0,8447.5,8447.5,8447.5,0
북미,Toronto,2026,1,0,9515,9417.5,9417.5,0
중남미,Mexico City,2026,1,0,9390,9010,9010,0
유럽,Amsterdam,2026,1,0,7752.5,7612.5,7612.5,0
유럽,Frankfrut,2026,1,0,7460,7460,7460,0
유럽,London,2026,1,0,7702.5,7562.5,7562.5,0
유럽,Paris,2026,1,0,7742.5,7742.5,7742.5,0
아시아,Chennai,2026,1,0,3290,3290,3290,0
아시아,New Delhi,2026,1,0,3678.333333,3678.333333,,
아시아,Bangkok,2026,1,0,1511.666667,1511.666667,,
아시아,Hanoi,2026,1,0,2220,2203.333333,2203.333333,
아시아,Hochiminh,2026,1,0,2246.666667,2246.666667,,
아시아,Hongkong,2026,1,0,1042,1042,1042,0
아시아,Jakarta,2026,1,0,3793.333333,3785,3785,0
아시아,Manila,2026,1,0,2233.3333333333335?,2225,2225,0
일본,Tokyo,2026,1,0,1450,1430,1430,0
중국 ,Beijing,2026,1,0,2284,2284,2284,0
중국 ,Guangzhou,2026,1,0,2794,2794,2794,0
중국 ,Shanghai,2026,1,0,1112,1112,1112,0
중국 ,Tianjin,2026,1,0,1848,1848,1848,0
아프리카,Abidjan,2026,1,0,9450,9450,9450,0
아프리카,Addis Ababa,2026,1,0,9973.3333333333339?,9706.6666666666661?,,
오세아니아,Auckland,2026,1,0,5705,5705,5705,0
오세아니아,Sydney,2026,1,0,5050,5050,5050,0
중동,Abu dhabi,2026,1,0,8970,8903.333333,8503.333333,
중동,Dubai,2026,1,0,6353.333333,5720,5686.666666666667?,
중동,Dammam,2026,1,0,6653.333333,6653.333333,6420,
중동,Riyadh,2026,1,0,5720,5520,5320,0
중동,Kuwait,2026,1,0,5920,5720,5653.333333,0
중동,Tehran,2026,1,0,12320,12320,12320,0
러시아,Moscow,2026,1,0,9220,11685,9020,0
