Country (국가),Destination(도착지), Year(년),Month(월),TEU,FEU
북미,Long Beach,2026,1,2500,3100
북미,Atlanta,2026,1,4500,5300
북미,New York,2026,1,3200,3950
북미,Norfolk,2026,1,3200,3950
북미,Savannah,2026,1,3200,3950
북미,Los Angeles,2026,1,2500,3100
북미,Oakland,2026,1,2500,3100
북미,Seattle,2026,1,2500,3100
북미,Chicago,2026,1,4500,5300
북미,Dallas,2026,1,4500,5300
북미,Montreal,2026,1,4400,5100
북미,Toronto,2026,1,4400,5100
북미,Vancouver,2026,1,2400,3000
중남미,Manzalino,2026,1,2300,2500
중남미,Buenos Aires,2026,1,2900,3000
중남미,Montevideo,2026,1,2900,3000
중남미,Santos,2026,1,2900,3000
중남미,Callao,2026,1,2300,2500
중남미,Valparaiso,2026,1,2300,2500
중남미,Puerto Caldera,2026,1,3250,3600
중남미,Puerto Quetzal ,2026,1,3250,3400
유럽,Istanbul,2026,1,3200,4900
유럽,Izmir,2026,1,3200,4900
유럽,Izmit,2026,1,3200,4900
유럽,Antwerp,2026,1,1700,2900
유럽,Rotterdam,2026,1,1700,2900
유럽,Hamburg,2026,1,1700,2900
유럽,Le Havre,2026,1,1700,2900
유럽,Southampton,2026,1,1700,2900
유럽,FOS(Marseilles),2026,1,3000,4500
유럽,Gothenburg,2026,1,2100,3400
유럽,Genoa,2026,1,3000,4500
유럽,Barcelona,2026,1,3000,4500
유럽,Koper,2026,1,3200,4500
유럽,Helsinki,2026,1,2100,3400
아시아,Calcutta,2026,1,2700,4200
아시아,Chittagong,2026,1,1300,1550
아시아,Colombo,2026,1,1700,2000
아시아,Penang,2026,1,500,850
아시아,Port Kelang,2026,1,500,850
아시아,Semarang ,2026,1,600,1000
아시아,Sihanouk Ville,2026,1,700,1200
아시아,Singapore,2026,1,500,100
아시아,Surabaya,2026,1,500,850
아시아,Bangkok,2026,1,400,700
아시아,Cebu,2026,1,500,950
아시아,Haiphong,2026,1,250,500
아시아,Hochiminh,2026,1,400,800
아시아,Jakarta,2026,1,500,850
아시아,Kaoshiung,2026,1,200,350
아시아,Keelung,2026,1,200,350
아시아,Laemchabang,2026,1,400,800
아시아,Manila,2026,1,150,250
아시아,Nhava Sheva,2026,1,1200,1400
아시아,Yangon,2026,1,1200,1900
아시아,Chennai,2026,1,1200,1400
아시아,Karachi,2026,1,1300,1600
일본,Tokyo (Ferry),2026,1,750,1500
일본,Osaka (Ferry),2026,1,450,900
일본,Hakata,2026,1,50,100
일본,Kobe,2026,1,200,300
일본,Nagoya,2026,1,100,200
일본,Osaka,2026,1,100,200
일본,Tokyo ,2026,1,100,200
일본,Yokohama,2026,1,100,200
중국 ,Qingdao,2026,1,30,50
중국 ,Dailian,2026,1,30,50
중국 ,Lianyungang,2026,1,30,60
중국 ,Ningbo,2026,1,30,50
중국 ,Huangpu,2026,1,250,450
중국 ,Shenzhen,2026,1,250,450
중국 ,Xiamen,2026,1,150,250
중국 ,Xiangang,2026,1,30,52
중국 ,Yantai,2026,1,50,100
중국 ,Weihai,2026,1,50,100
중국 ,Shanghai,2026,1,30,50
중국 ,Dandong,2026,1,30,50
중국 ,Hongkong,2026,1,100,150
아프리카,Abidjan,2026,1,2600,3200
아프리카,Apapa,2026,1,3100,4000
아프리카,Tema,2026,1,2600,3200
아프리카,Mombasa,2026,1,2300,3000
아프리카,Beira,2026,1,3150,4600
아프리카,Dar,2026,1,3000,4500
아프리카,Alexandria,2026,1,2800,4800
아프리카,Casablanca,2026,1,4450,5800
아프리카,Tripoli,2026,1,6000,9000
아프리카,Tunis,2026,1,4900,6500
아프리카,Cape Town,2026,1,2550,3000
아프리카,Durban,2026,1,2450,2800
오세아니아Brisbane,,2026,1,1400,2600
오세아니아Brisbane,Auckland,2026,1,1300,2400
오세아니아Brisbane,Frementle,2026,1,1300,2500
오세아니아Brisbane,Frementle,2026,1,1300,2500
오세아니아Brisbane,Melbourne,2026,1,1400,2600
오세아니아Brisbane,Sydney,2026,1,1400,2600
오세아니아Brisbane,Bahrain,2026,1,1900,2600
오세아니아Brisbane,Damman,2026,1,1650,2200
오세아니아Brisbane,Jeddah,2026,1,2050,3150
오세아니아Brisbane,Riyard,2026,1,2000,2250
오세아니아Brisbane,Dubai,2026,1,1650,2200
러시아/CIS,"St,Petersburg",2026,1,4000,5500
러시아/CIS,Moscow,2026,1,4000,5500
러시아/CIS,Almary,2026,1,3400,4950
러시아/CIS,Tashkent,2026,1,5100,6600
러시아/CIS,Ulaanbaatar,2026,1,2450,3400
